ID,Target
12596,0.0858849
29326,0.13773812
24338,0.0847608
11167,0.24337588
22074,0.05189461
21192,0.027619865
11723,0.0834782
8231,0.08543457
16389,0.021880003
5882,0.060715888
3366,0.25400004
337,0.053333923
6667,0.17813775
18589,0.0098105585
22710,0.17609254
29411,0.92612225
27092,0.0364076
7789,0.1642915
1853,0.019609643
19687,0.060651086
21973,0.07702082
31597,0.89383274
15458,0.06350228
32246,0.07259549
31411,0.9600588
78,0.013930116
1568,0.05303376
13278,0.10838164
9588,0.02523653
11564,0.04990979
14917,0.069264665
7951,0.049892653
12416,0.043156203
20288,0.043668512
24286,0.42883
26560,0.93694144
18471,0.033907473
7401,0.6884498
7012,0.08691855
5799,0.01844962
30114,0.8812047
27924,0.10367356
8153,0.134484
5455,0.13711286
3556,0.059860054
27207,0.42108238
25038,0.99070907
3151,0.030529281
7928,0.07772362
4432,0.13377544
29383,0.97347045
16767,0.034232162
18292,0.25084254
14786,0.09887032
23355,0.06696474
14209,0.39665723
1364,0.064086154
20712,0.29248613
9269,0.035414983
17959,0.02848334
33545,0.86414444
26893,0.06297598
21297,0.09608314
10404,0.034169734
2501,0.064544745
10254,0.4400062
12032,0.05174528
17176,0.10948624
29546,0.93927693
6802,0.18533687
16479,0.009082089
30372,0.07888558
3928,0.046033673
2893,0.043271143
15796,0.087747395
4560,0.0697472
16645,0.020527046
20640,0.09201611
15955,0.058950003
18753,0.1817491
32035,0.018003682
4492,0.057801712
2664,0.058494523
8347,0.07704892
7799,0.13948138
27672,0.14445135
14260,0.1423362
11701,0.024961285
18396,0.06841523
3267,0.03983642
24730,0.90038556
8491,0.26516175
8670,0.008604916
23983,0.17011467
16313,0.090968296
17584,0.03793758
4659,0.012627089
4452,0.0524158
8099,0.057017133
12090,0.07583099
740,0.026683765
2244,0.08426556
4759,0.7121798
32107,0.18434864
19849,0.05397837
33494,0.96709865
19177,0.12690122
14554,0.028566306
241,0.06581925
4645,0.0036701334
31400,0.9197915
31922,0.8998732
21676,0.051984984
20021,0.44565928
8925,0.21160951
3204,0.042709775
31154,0.2672447
20357,0.7414763
1638,0.032586273
30806,0.97009474
30782,0.9287357
5947,0.036055237
15734,0.009345347
12235,0.024895051
20777,0.20747094
28055,0.0110130515
17588,0.06620188
16771,0.09264358
32239,0.102915645
11871,0.026694348
29822,0.15978985
19179,0.03596132
17906,0.12116582
13712,0.14630607
21131,0.015026728
20646,0.14092498
25637,0.036939047
26836,0.8860599
8174,0.18034321
19302,0.11426593
30936,0.085335836
7068,0.14338262
13169,0.059682913
6103,0.037276495
405,0.07879708
2296,0.07046964
32001,0.9281879
15564,0.03768603
19739,0.10626209
29836,0.9319745
28006,0.8970643
8927,0.15895407
11172,0.21634465
16391,0.02412276
651,0.0068940073
2564,0.025821099
20163,0.07280436
1621,0.040843915
12393,0.44577488
30859,0.19788103
25760,0.20699322
32042,0.9454537
15224,0.6042373
30095,0.8914397
29545,0.91673076
29272,0.907299
1957,0.30379635
21830,0.06959224
18575,0.27798674
19493,0.09711997
29923,0.032962956
29608,0.89073884
25404,0.056834016
13775,0.013864104
5105,0.15666686
30233,0.9066866
32839,0.003999216
15642,0.018989438
3431,0.005595345
1133,0.12303603
2721,0.23343936
10214,0.04851451
11529,0.17194857
9389,0.029179377
23817,0.037966516
5725,0.12898512
20818,0.048609998
17863,0.05671469
29148,0.8908276
6407,0.054136213
9298,0.508051
10305,0.050727136
30300,0.17613147
17331,0.28477544
9628,0.13520119
28012,0.8360566
7187,0.05103428
26554,0.9006122
11382,0.014101762
443,0.015964312
20181,0.02382371
10571,0.0889976
19125,0.024554294
3855,0.09251261
8721,0.053671937
24612,0.9066605
28820,0.014486761
6732,0.028128946
32195,0.055657875
4466,0.03035317
13947,0.08663059
8718,0.026357004
22621,0.04059679
4066,0.015286207
61,0.34830868
29865,0.95299923
18682,0.31384948
32268,0.013737217
26579,0.06813738
20768,0.012609552
6983,0.14886396
8812,0.013624212
24843,0.030474838
18810,0.030443748
23944,0.012766632
768,0.060557634
11782,0.020174555
6918,0.01883588
5458,0.4879752
3576,0.11333908
10358,0.03863574
28952,0.97186184
26590,0.9177662
28745,0.9480701
6311,0.08187594
10592,0.012980481
20335,0.010889994
7618,0.014390003
23393,0.13118368
691,0.021840956
3357,0.118714936
27807,0.19821437
7466,0.13757433
3418,0.023003826
19361,0.048239768
23902,0.010484336
12996,0.011639975
11693,0.11503425
24553,0.042106148
24270,0.9687798
12092,0.017830309
19467,0.36890528
6939,0.07597404
655,0.029960886
11692,0.034187347
10626,0.078768946
30392,0.16268979
19171,0.6302082
14283,0.025955489
11658,0.1324011
12131,0.26307586
11892,0.17232907
5676,0.15177235
1718,0.033725947
19098,0.16127169
21869,0.009777748
29511,0.85436755
19167,0.029748984
860,0.5098447
4713,0.07498274
13330,0.034154568
9054,0.035924062
30740,0.9655844
26906,0.27438036
20137,0.0944686
15824,0.037986435
2746,0.012337755
30219,0.07143332
13750,0.07093028
3360,0.056670472
31087,0.90266234
15553,0.031520095
23510,0.23146239
13999,0.1813295
16930,0.16998401
25863,0.11498671
29702,0.36338425
32418,0.13139549
2473,0.015105212
25908,0.89650136
30752,0.9070447
20342,0.34037167
33392,0.87816215
31327,0.9051737
23444,0.06811988
12337,0.10498482
19242,0.38966018
28255,0.97035944
8330,0.02014321
19077,0.060961224
23455,0.06009665
14083,0.054856118
20881,0.098063946
6793,0.44220522
16635,0.34273034
30815,0.11656178
